date,portfolio_value
2021-10-18,10000.0
2021-10-19,10000.0
2021-10-20,10000.0
2021-10-21,9999.698806976317
2021-10-22,9998.14799520874
2021-10-25,9997.149795745849
2021-10-26,9999.068771575927
2021-10-27,10011.726822113036
2021-10-28,10012.556073181151
2021-10-29,10012.556073181151
2021-11-01,10012.236843048095
2021-11-02,10015.558225250243
2021-11-03,10015.558225250243
2021-11-04,10015.558225250243
2021-11-05,10015.232511108397
2021-11-08,10016.133878295897
2021-11-09,10014.800336151122
2021-11-10,10014.800336151122
2021-11-11,10014.800336151122
2021-11-12,10014.800336151122
2021-11-15,10014.474612243652
2021-11-16,10017.808688171386
2021-11-17,10018.032015808105
2021-11-18,10020.119570739746
2021-11-19,10021.906191833496
2021-11-22,10018.72137738037
2021-11-23,10016.633761413574
2021-11-24,10016.857089050292
2021-11-26,10008.545701965331
2021-11-29,10008.218838409422
2021-11-30,10002.354061798094
2021-12-01,10001.858761505126
2021-12-02,10001.285885528563
2021-12-03,9994.993893341063
2021-12-06,9998.08166189575
2021-12-07,10006.558376983641
2021-12-08,10006.606930450438
2021-12-09,10004.791195587157
2021-12-10,10013.624731231688
2021-12-13,10013.624731231688
2021-12-14,10013.624731231688
2021-12-15,10013.624731231688
2021-12-16,10013.624731231688
2021-12-17,10013.624731231688
2021-12-20,10013.314102569579
2021-12-21,10020.479874053954
2021-12-22,10026.218521514891
2021-12-23,10027.665268341063
2021-12-27,10035.200119415282
2021-12-28,10033.703578277586
2021-12-29,10033.371549072262
2021-12-30,10030.488393127438
