date,portfolio_value
2020-10-15,9999.88244997406
2020-10-16,9998.23669039154
2020-10-19,9995.276271690369
2020-10-20,9996.651789978028
2020-10-21,9996.651789978028
2020-10-22,9996.651789978028
2020-10-23,9996.651789978028
2020-10-26,9996.651789978028
2020-10-27,9996.651789978028
2020-10-28,9996.54350099945
2020-10-29,10000.555646995545
2020-10-30,9994.15875845337
2020-11-02,9994.052835868837
2020-11-03,9995.571568740846
2020-11-04,9995.571568740846
2020-11-05,9995.571568740846
2020-11-06,9995.571568740846
2020-11-09,9995.571568740846
2020-11-10,9995.571568740846
2020-11-11,9995.571568740846
2020-11-12,9995.571568740846
2020-11-13,9995.455230407717
2020-11-16,9996.46974914551
2020-11-17,9995.46559629822
2020-11-18,9995.46559629822
2020-11-19,9995.349862762452
2020-11-20,9993.96723942566
2020-11-23,9993.96723942566
2020-11-24,9993.8548908844
2020-11-25,9994.693826736451
2020-11-27,9995.240099014283
2020-11-30,9997.639841140748
2020-12-01,10001.100205696108
2020-12-02,10000.980140922547
2020-12-03,10000.723654174806
2020-12-04,10000.723654174806
2020-12-07,10000.723654174806
2020-12-08,10000.723654174806
2020-12-09,10000.723654174806
2020-12-10,10000.723654174806
2020-12-11,10000.604242980959
2020-12-14,9999.870868118287
2020-12-15,9999.746120956423
2020-12-16,9999.677853134157
2020-12-17,10000.420477760317
2020-12-18,10000.420477760317
2020-12-21,10000.420477760317
2020-12-22,10000.291828575137
2020-12-23,9999.394367637637
2020-12-24,10000.379627647402
2020-12-28,10004.850610679629
2020-12-29,10004.850610679629
2020-12-30,10004.720166557314
2020-12-31,10003.585966453555
2021-01-04,10003.585966453555
2021-01-05,10003.585966453555
2021-01-06,10003.462467926029
2021-01-07,10007.67664028931
2021-01-08,10008.778973358158
2021-01-11,10005.784161346439
2021-01-12,10005.608586090091
2021-01-13,10007.519690498355
2021-01-14,10007.519690498355
2021-01-15,10007.519690498355
2021-01-19,10007.519690498355
2021-01-20,10007.390895011904
2021-01-21,10012.112330558779
2021-01-22,10014.12280092621
2021-01-25,10014.12280092621
2021-01-26,10014.12280092621
2021-01-27,10013.984221153261
2021-01-28,10009.002268775943
2021-01-29,10008.873541557316
2021-02-01,10011.000128471378
2021-02-02,10011.697623344426
2021-02-03,10011.697623344426
2021-02-04,10011.697623344426
2021-02-05,10011.697623344426
2021-02-08,10011.697623344426
2021-02-09,10011.697623344426
2021-02-10,10011.565352821355
2021-02-11,10011.311416053777
2021-02-12,10011.545806312566
2021-02-16,10009.285939598089
2021-02-17,10009.158114257818
2021-02-18,10008.054194274908
2021-02-19,10008.083612335211
2021-02-22,10007.960515419012
2021-02-23,10007.700760253912
