date,portfolio_value
2021-10-18,10000.0
2021-10-19,10000.0
2021-10-20,9999.702053863526
2021-10-21,10002.948941070557
2021-10-22,10001.098487091065
2021-10-25,10000.799843078614
2021-10-26,10002.418255920411
2021-10-27,10002.418255920411
2021-10-28,10002.418255920411
2021-10-29,10002.418255920411
2021-11-01,10002.418255920411
2021-11-02,10002.418255920411
2021-11-03,10002.418255920411
2021-11-04,10002.092173431398
2021-11-05,10001.398112121584
2021-11-08,10001.07149661255
2021-11-09,10000.063562042238
2021-11-10,9995.072106964113
2021-11-11,9996.65191043091
2021-11-12,10000.483454559328
2021-11-15,10000.483454559328
2021-11-16,10000.154396575928
2021-11-17,10000.377724212647
2021-11-18,10002.465279144288
2021-11-19,10004.251900238038
2021-11-22,10000.737115112306
2021-11-23,10000.737115112306
2021-11-24,10000.40900872803
2021-11-26,9992.417736755373
2021-11-29,9998.83931680298
2021-11-30,9998.518318023684
2021-12-01,9998.023017730715
2021-12-02,9997.450141754152
2021-12-03,9990.844510955812
2021-12-06,9990.844510955812
2021-12-07,9990.844510955812
2021-12-08,9990.844510955812
2021-12-09,9990.844510955812
2021-12-10,9990.844510955812
2021-12-13,9990.844510955812
2021-12-14,9990.844510955812
2021-12-15,9990.844510955812
2021-12-16,9990.529037139895
2021-12-17,9989.460952423098
2021-12-20,9985.683883331301
2021-12-21,9992.531860382083
2021-12-22,9992.531860382083
2021-12-23,9992.531860382083
2021-12-27,9992.199345703128
2021-12-28,9991.034154052737
2021-12-29,9991.713872070315
2021-12-30,9989.160191650393
