date,portfolio_value
2021-10-18,9999.702170196533
2021-10-19,10000.314531585693
2021-10-20,10000.314531585693
2021-10-21,10000.01333856201
2021-10-22,9998.462526794432
2021-10-25,9997.16568331909
2021-10-26,9996.865120330809
2021-10-27,10009.2099498291
2021-10-28,10008.89558517456
2021-10-29,10015.941758270263
2021-11-01,10013.761063690185
2021-11-02,10017.082445892333
2021-11-03,10017.082445892333
2021-11-04,10017.082445892333
2021-11-05,10017.082445892333
2021-11-08,10016.7558303833
2021-11-09,10015.747895812987
2021-11-10,10010.435824615477
2021-11-11,10010.435824615477
2021-11-12,10010.435824615477
2021-11-15,10010.435824615477
2021-11-16,10010.435824615477
2021-11-17,10010.435824615477
2021-11-18,10010.435824615477
2021-11-19,10010.435824615477
2021-11-22,10010.435824615477
2021-11-23,10010.435824615477
2021-11-24,10010.435824615477
2021-11-26,10010.115709503172
2021-11-29,10016.864153106688
2021-11-30,10010.99937649536
2021-12-01,10010.183572723387
2021-12-02,10009.86364212036
2021-12-03,10003.57164993286
2021-12-06,10006.342692108152
2021-12-07,10006.342692108152
2021-12-08,10006.342692108152
2021-12-09,10006.342692108152
2021-12-10,10006.01009005737
2021-12-13,10002.961200897214
2021-12-14,9991.90331210327
2021-12-15,9991.90331210327
2021-12-16,9991.90331210327
2021-12-17,9991.90331210327
2021-12-20,9991.59268344116
2021-12-21,9998.758454925535
2021-12-22,10004.497102386473
2021-12-23,10005.943849212645
2021-12-27,10013.146185607908
2021-12-28,10012.814836120602
2021-12-29,10013.49455413818
2021-12-30,10010.940873718258
