date,portfolio_value
2021-10-18,9999.702170196533
2021-10-19,10000.613272491455
2021-10-20,9999.818503204346
2021-10-21,10002.764197387696
2021-10-22,10002.764197387696
2021-10-25,10002.764197387696
2021-10-26,10002.764197387696
2021-10-27,10002.764197387696
2021-10-28,10002.764197387696
2021-10-29,10002.764197387696
2021-11-01,10002.44496725464
2021-11-02,10006.089223846437
2021-11-03,10006.932332977296
2021-11-04,10009.297323211671
2021-11-05,10008.928976043702
2021-11-08,10009.830343231202
2021-11-09,10008.496801086427
2021-11-10,10008.176184967042
2021-11-11,10009.433792510987
2021-11-12,10009.433792510987
2021-11-15,10009.433792510987
2021-11-16,10009.104734527587
2021-11-17,10008.998780853271
2021-11-18,10008.667411987304
2021-11-19,10010.120877593994
2021-11-22,10010.120877593994
2021-11-23,10010.120877593994
2021-11-24,10010.120877593994
2021-11-26,10010.120877593994
2021-11-29,10009.794014038085
2021-11-30,10003.929237426757
2021-12-01,10003.113433654784
2021-12-02,10003.113433654784
2021-12-03,10003.113433654784
2021-12-06,10003.113433654784
2021-12-07,10003.113433654784
2021-12-08,10002.788182006834
2021-12-09,10000.972447143553
2021-12-10,10010.138584838865
2021-12-13,10007.08969567871
2021-12-14,9996.350620971678
2021-12-15,10002.152541595457
2021-12-16,10002.152541595457
2021-12-17,10002.152541595457
2021-12-20,10002.152541595457
2021-12-21,10001.834747161864
2021-12-22,10007.573394622801
2021-12-23,10008.695161621092
2021-12-27,10008.695161621092
2021-12-28,10008.695161621092
2021-12-29,10008.363132415769
2021-12-30,10005.809451995847
