buy_date,sell_date,buy_price,sell_price,buy_percentile,sell_percentile,profit_loss,percentile_gain,position_size,exit_type
2021-12-31,2022-01-18,453.1864318847656,435.563232421875,0.5,0.5,-0.038887306024580584,0.0,0.22065973948979034,stop_loss
2022-01-18,2022-01-21,435.563232421875,417.90167236328125,0.5,0.5,-0.04054878544359601,0.0,0.22949715889551509,stop_loss
2022-01-21,2022-02-02,417.90167236328125,436.3837890625,0.5,0.6563613061746937,0.04422599362835829,0.15636130617469368,0.23909788016221134,stop_loss
2022-02-02,2022-02-11,436.3837890625,420.2680969238281,0.6563613061746937,0.27538945512107094,-0.036930088932253496,-0.38097185105362275,0.22907125346880122,stop_loss
2022-02-11,2022-02-23,420.2680969238281,402.606689453125,0.27538945512107094,0.0,-0.04202414506353591,-0.27538945512107094,0.23776602879083575,stop_loss
2022-02-24,2022-03-08,408.66558837890625,397.1679382324219,0.1784211893248163,0.0,-0.028134617823079324,-0.1784211893248163,0.24441230064682912,stop_loss
2022-03-09,2022-03-18,407.81634521484375,425.4595947265625,0.27028364805889543,1.0,0.043262732646049344,0.7297163519411045,0.24485091214319035,stop_loss
2022-03-31,2022-04-11,432.27435302734375,421.0568542480469,0.7872906132885109,0.4106235116371405,-0.025949952155933955,-0.3766671016513704,0.23109580983787142,stop_loss
2022-04-11,2022-04-22,421.0568542480469,407.7720031738281,0.4106235116371405,0.0,-0.031551204879312025,-0.4106235116371405,0.2371895289293047,stop_loss
2022-04-25,2022-04-26,410.13604736328125,398.2582092285156,0.06955655842068496,0.0,-0.028960727083432235,-0.06955655842068496,0.24342697382767728,stop_loss
2022-04-27,2022-05-09,399.3780212402344,381.0970458984375,0.0274642943216707,0.0,-0.04577361389349085,-0.0274642943216707,0.24991027883935854,stop_loss
2022-05-10,2022-05-27,381.9775695800781,397.4542236328125,0.019628131500929943,0.6515144439416606,0.04051718028822589,0.6318863124407307,0.25,stop_loss
2022-05-27,2022-06-09,397.4542236328125,384.226806640625,0.6515144439416606,0.4289289106451377,-0.03328035332292161,-0.22258553329652286,0.25,stop_loss
2022-06-09,2022-06-10,384.226806640625,373.0859069824219,0.4289289106451377,0.012172819098414554,-0.028995633479117013,-0.41675609154672316,0.25,stop_loss
2022-06-10,2022-06-13,373.0859069824219,358.92047119140625,0.012172819098414554,0.0,-0.03796829503850178,-0.012172819098414554,0.25,stop_loss
2022-06-15,2022-06-16,362.9404296875,350.9286193847656,0.1224726485200199,0.0,-0.0330958177160831,-0.1224726485200199,0.25,stop_loss
2022-06-17,2022-06-24,351.68505859375,374.9666442871094,0.015576034260111666,0.49497315181087814,0.06620009899326762,0.47939711755076647,0.25,stop_loss
2022-06-24,2022-06-30,374.9666442871094,362.6337890625,0.49497315181087814,0.2410241586572449,-0.032890539498671226,-0.25394899315363323,0.25,stop_loss
2022-06-30,2022-07-19,362.6337890625,377.07183837890625,0.2410241586572449,1.0,0.03981440712883445,0.7589758413427551,0.25,stop_loss
2022-07-26,2022-07-28,375.7453308105469,390.3371887207031,0.6332412642451613,1.0,0.03883443575647133,0.36675873575483875,0.25,stop_loss
2022-08-22,2022-08-29,397.33514404296875,387.0304870605469,0.5787170723806376,0.0,-0.02593442119810954,-0.5787170723806376,0.25,stop_loss
2022-09-01,2022-09-12,381.0610656738281,395.04736328125,0.03592114968279982,0.5190041327333845,0.036703559789531326,0.4830829830505847,0.25,stop_loss
2022-09-12,2022-09-13,395.04736328125,377.8696594238281,0.5190041327333845,0.060091362024672475,-0.04348264399170887,-0.45891277070871206,0.25,stop_loss
2022-09-13,2022-09-21,377.8696594238281,364.258544921875,0.060091362024672475,0.0,-0.036020659935246495,-0.060091362024672475,0.25,stop_loss
2022-09-28,2022-09-30,357.63720703125,344.75177001953125,0.15574248636184884,0.0,-0.03602935253487994,-0.15574248636184884,0.25,stop_loss
2022-10-03,2022-10-12,353.8536376953125,344.1532897949219,0.18096749805531992,0.0,-0.027413446880382674,-0.18096749805531992,0.25,stop_loss
2022-10-13,2022-10-24,353.23583984375,365.6870422363281,0.29415305364033145,1.0,0.0352489781277171,0.7058469463596686,0.25,stop_loss
2022-11-02,2022-11-10,361.8262023925781,380.9565734863281,0.5640783876739776,1.0,0.05287171290318472,0.43592161232602245,0.25,stop_loss
2022-11-28,2022-12-16,382.13409423828125,371.6326904296875,0.7927392971824889,0.0,-0.027480939196295733,-0.7927392971824889,0.25,stop_loss
